id,y
1,3
2,2
3,3
4,7
5,8
6,7
7,6
8,8
9,1
10,1
11,1
12,7
13,1
14,1
15,6
16,1
17,7
18,7
19,1
20,2
21,1
22,4
23,7
24,8
25,9
26,6
27,4
28,1
29,1
30,8
31,6
32,1
33,8
34,6
35,1
36,4
37,2
38,6
39,4
40,1
41,1
42,2
43,7
44,8
45,7
46,1
47,6
48,7
49,2
50,1
51,1
52,1
53,1
54,8
55,7
56,1
57,6
58,6
59,1
60,2
61,6
62,4
63,4
64,1
65,1
66,8
67,1
68,6
69,4
70,1
71,7
72,2
73,1
74,6
75,6
76,6
77,1
78,8
79,1
80,8
81,8
82,1
83,8
84,2
85,9
86,1
87,2
88,8
89,4
90,7
91,5
92,1
93,1
94,8
95,8
96,4
97,4
98,8
99,8
100,8
101,6
102,6
103,8
104,8
105,4
106,1
107,8
108,1
109,1
110,7
111,6
112,1
113,1
114,5
115,8
116,6
117,4
118,8
119,6
120,1
121,1
122,7
123,6
124,2
125,8
126,1
127,9
128,7
129,2
130,1
131,1
132,3
133,9
134,2
135,2
136,6
137,8
138,5
139,4
140,6
141,1
142,1
143,7
144,7
145,8
146,1
147,2
148,8
149,8
150,7
151,8
152,1
153,1
154,2
155,7
156,6
157,4
158,4
159,1
160,8
161,3
162,8
163,8
164,9
165,2
166,1
167,4
168,4
169,6
170,6
171,1
172,6
173,6
174,1
175,8
176,3
177,2
178,8
179,1
180,1
181,8
182,8
183,7
184,6
185,1
186,9
187,1
188,8
189,8
190,3
191,8
192,4
193,6
194,1
195,7
196,1
197,1
198,7
199,8
200,9
201,8
202,6
203,1
204,8
205,7
206,6
207,3
208,1
209,8
210,8
211,1
212,6
213,8
214,7
215,8
216,5
217,4
218,2
219,8
220,4
221,4
222,8
223,3
224,1
225,8
226,2
227,8
228,1
229,6
230,4
231,1
232,1
233,8
234,6
235,1
236,8
237,7
238,1
239,1
240,8
241,8
242,4
243,6
244,7
245,7
246,4
247,8
248,1
249,4
250,1
251,5
252,8
253,1
254,8
255,6
256,2
257,6
258,1
259,2
260,2
261,1
262,6
263,1
264,6
265,6
266,8
267,6
268,7
269,8
270,1
271,4
272,6
273,8
274,6
275,9
276,6
277,8
278,1
279,6
280,6
281,1
282,1
283,4
284,8
285,4
286,8
287,8
288,1
289,9
290,6
291,8
292,1
293,8
294,4
295,1
296,9
297,6
298,3
299,1
300,1
301,9
302,8
303,1
304,5
305,7
306,6
307,1
308,1
309,8
310,8
311,1
312,9
313,1
314,6
315,8
316,8
317,1
318,8
319,8
320,9
321,1
322,5
323,1
324,7
325,8
326,3
327,1
328,2
329,1
330,8
331,1
332,1
333,8
334,8
335,6
336,1
337,6
338,8
339,1
340,2
341,1
342,2
343,1
344,6
345,9
346,6
347,9
348,6
349,4
350,6
351,1
352,7
353,1
354,1
355,8
356,5
357,2
358,2
359,8
360,1
361,7
362,2
363,1
364,1
365,7
366,1
367,1
368,4
369,8
370,8
371,1
372,5
373,8
374,4
375,1
376,9
377,1
378,8
379,1
380,5
381,6
382,5
383,8
384,1
385,6
386,7
387,8
388,1
389,1
390,1
391,2
392,1
393,4
394,6
395,1
396,1
397,8
398,6
399,3
400,8
401,8
402,7
403,6
404,4
405,1
406,6
407,2
408,2
409,8
410,8
411,9
412,2
413,4
414,6
